cowcode,iso3166,country_ID,country_name,abbr_country,year,n_instdepth,n_policy,n_fiscauto,n_borrowauto,n_rep,n_lawmaking,n_execcon,n_fisccon,n_borrowcon,n_constit,n_selfrule,n_sharedrule,n_RAI,COMPONENTS,n_rep,n_assembly,n_executive,n_lawmaking,n_law_a,n_law_b,n_law_c,n_law_d,n_law_e,n_law_f
339,8,1,Albania,ALB,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,2000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,2001,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,2002,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,2003,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,2004,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,2005,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,2006,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,2007,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,2008,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,2009,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,8,1,Albania,ALB,2010,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,36,2,Australia,AUS,1950,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,22.9,,3.9,1.9,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1951,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,22.9,,3.9,1.9,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1952,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,22.9,,3.9,1.9,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1953,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,22.9,,3.9,1.9,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1954,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,22.9,,3.9,1.9,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1955,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,22.9,,3.9,1.9,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1956,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,22.9,,3.9,1.9,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1957,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,22.9,,3.9,1.9,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1958,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,22.9,,3.9,1.9,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1959,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,22.9,,3.9,1.9,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1960,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,3.9,2.0,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1961,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,3.9,2.0,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1962,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,3.9,2.0,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1963,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,3.9,2.0,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1964,2.9,3.9,1.9,1.0,3.9,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,3.9,2.0,1.9,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1965,2.9,3.9,1.9,1.0,4.0,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1966,2.9,3.9,1.9,1.0,4.0,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1967,2.9,3.9,1.9,1.0,4.0,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1968,2.9,3.9,1.9,1.0,4.0,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1969,2.9,3.9,1.9,1.0,4.0,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1970,2.9,3.9,1.9,1.0,4.0,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1971,2.9,3.9,1.9,1.0,4.0,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1972,2.9,3.9,1.9,1.0,4.0,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1973,2.9,3.9,1.9,1.0,4.0,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1974,2.9,3.9,1.9,1.0,4.0,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1975,2.9,3.9,1.9,1.0,4.0,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1976,2.9,3.9,1.9,1.0,4.0,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1977,2.9,3.9,1.9,1.0,4.0,1.5,1.9,1.0,1.9,2.9,13.7,9.3,23.0,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1978,3.0,3.9,2.0,1.0,4.0,1.5,2.0,1.0,2.0,3.0,13.8,9.4,23.3,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1979,3.0,3.9,2.0,1.0,4.0,1.5,2.0,1.0,2.0,3.0,13.8,9.4,23.3,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1980,3.0,3.9,2.0,1.0,4.0,1.5,2.0,1.0,2.0,3.0,13.8,9.4,23.3,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1981,3.0,3.9,2.0,1.0,4.0,1.5,2.0,1.0,2.0,3.0,13.8,9.4,23.3,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
