cowcode,iso3166,country_ID,country_name,abbr_country,region_ID,region_name,year,tier,type,tier_instdepth,tier_policy,tier_fiscauto,tier_borrowauto,tier_rep,tier_lawmaking,tier_execcon,tier_fisccon,tier_borrowcon,tier_constit,tier_selfrule,tier_sharedrule,tier_RAI,COMPONENTS,instdepth,policy,fiscauto,borrowauto,assembly,executive,law_a,law_b,law_c,law_d,law_e,law_f,execcon_multi,execcon_bi,fisccon_multi,fisccon_bi,borrowcon_multi,borrowcon_bi,constit_multi,constit_bi
339,8,1,Albania,ALB,101,Qarku,2000,1,S,1,0,0,0,1,0,0,0,0,0,2,0,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,8,1,Albania,ALB,101,Qarku,2001,1,S,1,0,0,0,1,0,0,0,0,0,2,0,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,8,1,Albania,ALB,101,Qarku,2002,1,S,1,0,0,0,1,0,0,0,0,0,2,0,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,8,1,Albania,ALB,101,Qarku,2003,1,S,1,0,0,0,1,0,0,0,0,0,2,0,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,8,1,Albania,ALB,101,Qarku,2004,1,S,1,0,0,0,1,0,0,0,0,0,2,0,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,8,1,Albania,ALB,101,Qarku,2005,1,S,1,0,0,0,1,0,0,0,0,0,2,0,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,8,1,Albania,ALB,101,Qarku,2006,1,S,1,0,0,0,1,0,0,0,0,0,2,0,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,8,1,Albania,ALB,101,Qarku,2007,1,S,1,0,0,0,1,0,0,0,0,0,2,0,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,8,1,Albania,ALB,101,Qarku,2008,1,S,1,0,0,0,1,0,0,0,0,0,2,0,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,8,1,Albania,ALB,101,Qarku,2009,1,S,1,0,0,0,1,0,0,0,0,0,2,0,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,8,1,Albania,ALB,101,Qarku,2010,1,S,1,0,0,0,1,0,0,0,0,0,2,0,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,201,States,1950,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1951,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1952,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1953,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1954,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1955,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1956,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1957,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1958,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1959,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1960,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1961,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1962,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1963,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1964,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1965,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1966,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1967,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1968,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1969,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1970,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1971,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1972,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1973,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1974,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1975,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1976,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1977,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1978,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1979,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,201,States,1980,1,S,3,4,2,1,4,1.5,2,1,2,3,14,9.5,23.5,,3,4,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
